,all,site,treat,Date,day,richness_Bacteria,richness_Fungi
PB228,PB,P,B,228,0,8984,984
PB317,PB,P,B,317,22,7735,909
PB411,PB,P,B,411,47,6997,275
PB428,PB,P,B,428,64,7626,778
PB512,PB,P,B,512,78,8506,999
PB602,PB,P,B,602,99,7945,762
PB613,PB,P,B,613,110,7369,679
CB228,CB,C,B,228,0,8957,669
CB317,CB,C,B,317,22,8295,864
CB411,CB,C,B,411,47,7844,645
CB428,CB,C,B,428,64,7923,749
CB512,CB,C,B,512,78,8315,944
CB602,CB,C,B,602,99,7949,823
CB613,CB,C,B,613,110,7725,632
HB228,HB,H,B,228,0,8335,1061
HB317,HB,H,B,317,22,7530,886
HB411,HB,H,B,411,47,8211,685
HB428,HB,H,B,428,64,7458,696
HB512,HB,H,B,512,78,7508,879
HB602,HB,H,B,602,99,7712,944
HB613,HB,H,B,613,110,8019,791
PC228,PC,P,C,228,0,8984,984
PC317,PC,P,C,317,22,7380,793
PC411,PC,P,C,411,47,6574,581
PC428,PC,P,C,428,64,6759,750
PC512,PC,P,C,512,78,8376,905
PC602,PC,P,C,602,99,5903,873
PC613,PC,P,C,613,110,6787,887
CC228,CC,C,C,228,0,8957,669
CC317,CC,C,C,317,22,8039,913
CC411,CC,C,C,411,47,8055,587
CC428,CC,C,C,428,64,7541,845
CC512,CC,C,C,512,78,7597,619
CC602,CC,C,C,602,99,7285,660
CC613,CC,C,C,613,110,8080,838
HC228,HC,H,C,228,0,8335,1061
HC317,HC,H,C,317,22,6145,743
HC411,HC,H,C,411,47,7457,665
HC428,HC,H,C,428,64,7175,638
HC512,HC,H,C,512,78,7673,959
HC602,HC,H,C,602,99,7603,1071
HC613,HC,H,C,613,110,7747,854
PBC228,PBC,P,BC,228,0,8984,984
PBC317,PBC,P,BC,317,22,5931,952
PBC411,PBC,P,BC,411,47,7819,607
PBC428,PBC,P,BC,428,64,8001,1204
PBC512,PBC,P,BC,512,78,8478,1061
PBC602,PBC,P,BC,602,99,7109,959
PBC613,PBC,P,BC,613,110,7359,760
CBC228,CBC,C,BC,228,0,8957,669
CBC317,CBC,C,BC,317,22,8380,753
CBC411,CBC,C,BC,411,47,8343,537
CBC428,CBC,C,BC,428,64,7725,669
CBC512,CBC,C,BC,512,78,7889,778
CBC602,CBC,C,BC,602,99,7371,663
CBC613,CBC,C,BC,613,110,8182,837
HBC228,HBC,H,BC,228,0,8335,1061
HBC317,HBC,H,BC,317,22,6204,862
HBC411,HBC,H,BC,411,47,7386,652
HBC428,HBC,H,BC,428,64,7391,876
HBC512,HBC,H,BC,512,78,7269,980
HBC602,HBC,H,BC,602,99,7887,1061
HBC613,HBC,H,BC,613,110,7441,986
PCK317,PCK,P,CK,317,22,7475,835
PCK411,PCK,P,CK,411,47,8265,582
PCK428,PCK,P,CK,428,64,7596,608
PCK512,PCK,P,CK,512,78,8261,664
PCK602,PCK,P,CK,602,99,7918,847
PCK613,PCK,P,CK,613,110,7697,850
PCK228,PCK,P,CK,228,0,8984,984
CCK317,CCK,C,CK,317,22,8186,937
CCK411,CCK,C,CK,411,47,7730,606
CCK428,CCK,C,CK,428,64,8063,1055
CCK512,CCK,C,CK,512,78,7759,870
CCK602,CCK,C,CK,602,99,8148,862
CCK613,CCK,C,CK,613,110,7118,832
CCK228,CCK,C,CK,228,0,8957,669
HCK317,HCK,H,CK,317,22,7819,757
HCK411,HCK,H,CK,411,47,7945,640
HCK428,HCK,H,CK,428,64,7724,906
HCK512,HCK,H,CK,512,78,7968,1084
HCK602,HCK,H,CK,602,99,7927,992
HCK613,HCK,H,CK,613,110,7378,663
HCK228,HCK,H,CK,228,0,8335,1061
